source,name,price,revenue,profit,description,url,category
BizBuySell,"Thriving Amazon Cleaning Products Store – $886K Sales, $124K Profit –Charlotte, NC This cleaning product eCommerce store is a plug-and-play opportunity with built-in, long-term supplier relationships ","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/thriving-amazon-cleaning-products-store-886k-sales-124k-profit/2384670/,Amazon FBA
BizBuySell,"AuctionVersatile Condo in Jack London SquareOakland, CA Online auction: July 14-16, 2025 Minutes from I-880 and Downtown Oakland Zoned for retail, office, or live-work use$400,000 starting bid37Starti","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-auction/versatile-condo-in-jack-london-square/35895708/,Amazon FBA
BizBuySell,"Baby Essentials Empire with Steady, Recurring RevenueLos Angeles County, CA - No time for bogus inquiries, as this opportunity is for someone ready to take this venture to the next level. - E2 Visa El","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/baby-essentials-empire-with-steady-recurring-revenue/2295704/,Amazon FBA
BizBuySell,"Fast-Growing Branded Amazon FBA Business in the Health & WellnessFlorida This is a growing Amazon FBA business in the highly resilient health and wellness sector, offering a line of branded, premium-q","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/fast-growing-branded-amazon-fba-business-in-the-health-and-wellness/2360984/,Amazon FBA
BizBuySell,"10-Year-Old Amazon FBA and Shopify Nootropics BusinessOhio Launched in 2017, this business sells a premium nootropic supplement designed to support mental focus, clarity, energy, and productivity. The","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/10-year-old-amazon-fba-and-shopify-nootropics-business/2380791/,Amazon FBA
BizBuySell,"Kitchen & Home Essentials E-Com Store | Multi-Platform | 3PLLawrenceville, GA This is a turnkey, fully remote e-commerce business specializing in kitchen and household essentials, with active sales ch","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/kitchen-and-home-essentials-e-com-store-multi-platform-3pl/2380442/,Amazon FBA
BizBuySell,"Year-Round Essentials Amazon Store | $102K Profit | Quick SaleCleveland, OH Founded in 2020, this Amazon FBA operation focuses on recession-resistant everyday favorites—Stanley Tumblers, Puffs Plus ti","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/year-round-essentials-amazon-store-102k-profit-quick-sale/2378919/,Amazon FBA
BizBuySell,"Well-known, brand-name guitar pedal company for sale.San Diego, CA Office Website www.boomeranglooper.com Amazon Store https://www.amazon.com/s?srs=88092440011 My name is Alex Kova. I’m the owner and ","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/well-known-brand-name-guitar-pedal-company-for-sale/2376858/,Amazon FBA
BizBuySell,"Fully Managed Wholesale Business – Passive Income OpportunityHillsborough County, FL This business is a thriving wholesale operation designed for entrepreneurs looking for a turnkey, scalable, and pro","$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/fully-managed-wholesale-business-passive-income-opportunity/2319314/,Amazon FBA
BizBuySell,Timeless Jewelry Brand for KidsUtah Relay Partners presents a children’s jewelry brand with incredible underlying financials that is looking for new ownership to allow the current owner to retire. The,"$6,000,000","$6,000,000","$1,261,582","Auto Part Company W/Full Websites, Ebay, Amazon, Walmart.com StoresBoulder County, CO Established eCommerce/small warehouse/contract manufacturing business with multiple successful products and stores. Extremely scalable and easily expandable to over 1.5MM in sales if you have the...$250,000 Cash Flow: $50,0004$250,000Cash Flow: $50,000ContactProfitable Amazon FBA Beauty Brand with Amazon’s Choice",https://www.bizbuysell.com/business-opportunity/timeless-jewelry-brand-for-kids/2301659/,Amazon FBA
