name,url,price,revenue,profit,description,source,category
Electrolyte Brand | US-Based Manufacturing | 65% YoY Growth | 20k Subs | $17.4M Revenue | $2.56M SDE,https://quietlight.com/listings/16065383/,$17.4M,"$17,442,054","$2,566,134",,QuietLight,Amazon FBA
Crown Jewel Amazon FBA Asset | $3.3M TTM SDE | 146% YOY Growth + Significant Potential Growth Opps,https://quietlight.com/amazon-fba-businesses-for-sale/,"$20,299,000","$16,973,677","$3,340,187",,QuietLight,Amazon FBA
Inc 500 Nutritional Supplements Ecommerce Business – 134% YoY Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$20,000,000","$18,209,404","$4,673,513",,QuietLight,Amazon FBA
"Category-Leading Amazon Home & Office Products Brand w/ $10m+ Revenue and 30,000+ Reviews",https://quietlight.com/amazon-fba-businesses-for-sale/,"$16,000,000","$10,721,750","$2,738,548",,QuietLight,Amazon FBA
"SBA PQ | 10-Yr-Old FBA, Category Best Seller | 13% Rev & 27% SDE YOY Growth | 78,000 Reviews",https://quietlight.com/listings/12973521/,"$10,425,000","$14,257,120","$2,978,291",,QuietLight,Amazon FBA
Evergreen Socks Business | 64% FBA and 25% National Retail Stores Sales | 50% TTM Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$5,598,331","$5,598,331","$1,092,811",,QuietLight,Amazon FBA
8-Year-Old Electronics Business | $4.7M+ Revenue | YoY Revenue Up 4.33% | Seven Brand Registries,https://quietlight.com/amazon-fba-businesses-for-sale/,$4.7M,"$4,751,741","$1,366,848",,QuietLight,Amazon FBA
"Fast Growing Health Supplement Amazon FBA Business w/ 15,000+ Subscriptions & 32% Net Margins",https://quietlight.com/listings/15830388/,"$8,000,000","$4,069,217","$1,332,198",,QuietLight,Amazon FBA
Category-Leading Giftable Poster Amazon Brand w/ Huge 122% Revenue Growth and 41% SDE Margin,https://quietlight.com/amazon-fba-businesses-for-sale/,"$6,600,000","$3,222,830","$1,333,537",,QuietLight,Amazon FBA
5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE,https://quietlight.com/amazon-fba-businesses-for-sale/,"$3,888,888","$3,372,243","$1,023,239",,QuietLight,Amazon FBA
Reputable Niche Skincare Brand | 37% YOY SDE Growth | Diversified Revenue,https://quietlight.com/amazon-fba-businesses-for-sale/,"$3,640,000","$4,234,004","$1,040,771",,QuietLight,Amazon FBA
"SBA Pre-Qualified | 11-Yr-Old Amazon FBA | Eyewear | 37,000 4.4-Star Reviews | Positive YOY Trends",https://quietlight.com/amazon-fba-businesses-for-sale/,"$3,565,000","$6,034,765","$1,188,075",,QuietLight,Amazon FBA
Amazon FBA Sleepwear & Socks Brand w/ $4m+ Revenue,https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,950,000","$5,004,444","$1,028,519",,QuietLight,Amazon FBA
Comfort Tac 85% YOY Growth – Low Workload FBA Business: SBA Eligible,https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,899,900","$2,450,023","$777,797",,QuietLight,Amazon FBA
4 Year Old Amazon FBA Business In Kids Outdoor Sporting Category w/30% Net Margins,https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,850,000","$2,728,120","$798,704",,QuietLight,Amazon FBA
"FBA Business in Girl’s Toy Niche. 76% Earnings Growth, Excellent Ratings, Enormous Upside",https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,700,000","$2,828,644","$770,129",,QuietLight,Amazon FBA
Leading Evergreen Children’s Toys Brand with 90% Revenue Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,500,000","$2,491,388","$662,707",,QuietLight,Amazon FBA
6+ Year Old Amazon FBA Business In The Bicycle Accessory Niche,https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,315,500","$2,173,254","$578,875",,QuietLight,Amazon FBA
10-Year-Old FBA Candy Business | 25-35% SDE Margins | Strong Supplier Relationships,https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,250,000","$3,968,985","$876,060",,QuietLight,Amazon FBA
"9-Year-Old Amazon FBA Stationery Brand | 6,000+ Reviews | 4.6-Star Rating | Seller Finance Available",https://quietlight.com/listings/16381108/,"$2,235,000","$4,615,205","$638,584",,QuietLight,Amazon FBA
"Price Reduced: 8-Year-Old Category-Leading Sleepwear and Socks FBA Business | $8M Revenue | 40,000+ Reviews | Seller Financing Available",https://quietlight.com/listings/16844681/,"$2,200,000","$7,966,554","$847,856",,QuietLight,Amazon FBA
7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,050,000","$1,695,058","$633,358",,QuietLight,Amazon FBA
SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$2,031,460","$5,716,461","$615,594",,QuietLight,Amazon FBA
SBA Pre-Qualified | 3-Year-Old FBA Cleaning Products Biz | $451k SDE,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,980,000","$1,416,262","$451,463",,QuietLight,Amazon FBA
"3 Yr Old FBA Private Label Biz, Home/Garden – $511K SDE, 3.75X – 228% YoY Rev & 531% YoY SDE Growth",https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,915,000","$1,991,173","$511,295",,QuietLight,Amazon FBA
"7-Yr Outdoor Gear Biz, Patents Pending, Boopos $900K Financing, 326% Rev. Growth, 100% Pos. Feedback",https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,599,000","$1,597,554","$423,366",,QuietLight,Amazon FBA
14 SKU Amazon FBA Business Covering Multiple Niches With Low Workload,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,588,779","$1,927,518","$529,593",,QuietLight,Amazon FBA
"6 Yr Old Amazon FBA Brand, 129% YOY SDE Growth, Highly Defensible with 15000+Reviews (Avg 4.7 Stars)",https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,482,000","$2,688,542","$411,723",,QuietLight,Amazon FBA
Distressed Sale: 5-Year-Old Patented Food Container Biz | Major Retail Partnerships,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,450,000","$3,410,057","$515,873",,QuietLight,Amazon FBA
Modern Furniture FBA Brand | $1.7M Revenue + $432K SDE | $246 AOV,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,250,000","$1,738,885","$432,058",,QuietLight,Amazon FBA
8 Yr Old Reputable Amazon FBA Pet Brand | 70% YoY Revenue Growth | High Net Margins,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,182,000","$1,335,231","$407,595",,QuietLight,Amazon FBA
Very Passive eCommerce Business Sells Cools Maps and Related Travel Products,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,150,000","$1,124,266","$371,105",,QuietLight,Amazon FBA
Growing Amazon FBA Premium STEM Kids Toys | Ready International Expansion | Strong Reviews,https://quietlight.com/listings/16859412/,"$1,150,000","$3,614,069","$555,779",,QuietLight,Amazon FBA
Established Home & Kitchen Amazon FBA Business with 50% YOY Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,100,000","$2,070,803","$395,013",,QuietLight,Amazon FBA
"Amazon FBA Biz Selling Premium Map, Puzzle, & Poker Mats | Strong Reviews | Easy Transfer",https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,075,000","$1,751,922","$307,199",,QuietLight,Amazon FBA
SBA Qualified FBA Wellness Business: 45% YoY Rev. Growth |29% Net Margins | 40% Subscription Rev.,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,025,000","$925,620","$269,761",,QuietLight,Amazon FBA
FBA Hair Loss Treatment Brands w/ 40% Monthly Subscription Revenue & 70% YoY Earnings Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,017,000","$1,832,226","$418,368",,QuietLight,Amazon FBA
5-Year-Old FBA Automotive Accessory Product w/ Multiple Stockouts in TTM,https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,000,000","$1,050,029","$245,244",,QuietLight,Amazon FBA
"SBA Pre-Qual – 3-Year-Old Amazon FBA Arts and Crafts Business with 8,400 Reviews and 4.7 Star Rating",https://quietlight.com/amazon-fba-businesses-for-sale/,"$1,000,000","$1,404,724","$273,980",,QuietLight,Amazon FBA
Amazon FBA Pet Supplements Business w/ 40% YoY Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$975,000","$1,219,707","$283,908",,QuietLight,Amazon FBA
Amazon FBA Novelty Gift | 85% Gross Margins | 4K+ Reviews | Marketing Needed,https://quietlight.com/amazon-fba-businesses-for-sale/,"$945,000","$647,496","$333,500",,QuietLight,Amazon FBA
Gaming Furniture Business | 56% YoY Growth | 10 Hrs/Week Operation | Multi-Country Revenue,https://quietlight.com/listings/13369216/,"$925,000","$799,002","$276,460",,QuietLight,Amazon FBA
Amazon Skincare Line | High Margins | Unique Formulations,https://quietlight.com/amazon-fba-businesses-for-sale/,"$900,000","$1,450,442","$382,584",,QuietLight,Amazon FBA
Amazon FBA Artificial Plants Brand with Triple Digit Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$890,000","$933,229","$257,325",,QuietLight,Amazon FBA
Amazon FBA Kitchen & Bathroom Business w/ 260% YOY Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$880,000","$1,136,216","$306,733",,QuietLight,Amazon FBA
"Baby Products Amazon FBA Business w/ 60% YoY Growth and 4,000+ Reviews",https://quietlight.com/amazon-fba-businesses-for-sale/,"$785,000","$743,330","$203,434",,QuietLight,Amazon FBA
SBA Pre-Qualified Amazon FBA Outdoor Brand | 6 Years Old | $200k SDE,https://quietlight.com/amazon-fba-businesses-for-sale/,"$742,000","$576,538","$200,967",,QuietLight,Amazon FBA
Amazon FBA Thank You Card Business w/ Impressive Growth and 5 Star Average Reviews,https://quietlight.com/amazon-fba-businesses-for-sale/,"$741,000","$1,079,028","$242,262",,QuietLight,Amazon FBA
SBA Pre-Qualified | 6 Yr Old Unique Baby and Toddler Sleepwear Brand | $173K SDE | Low Workload,https://quietlight.com/amazon-fba-businesses-for-sale/,"$700,000","$736,281","$173,396",,QuietLight,Amazon FBA
5-Year-Old Pet Brand with Consumable Products Sold Through FBA and Chewy,https://quietlight.com/amazon-fba-businesses-for-sale/,"$699,000","$997,051","$197,554",,QuietLight,Amazon FBA
DISTRESS LISTING: Established Ecommerce Business Priced at ~60% of Inventory Value,https://quietlight.com/amazon-fba-businesses-for-sale/,"$695,000","$435,000",,,QuietLight,Amazon FBA
8-Year-Old Pet Safety Brand | 20% Repeat Purchase Rate | 21% YOY Revenue Growth Past 6 Mos.,https://quietlight.com/listings/13384086/,"$655,900","$553,106","$218,636",,QuietLight,Amazon FBA
Amazon FBA Animal Conservation | 17% TTM Revenue Growth | Passionate and Unique Niche | 10+ Yrs Old,https://quietlight.com/amazon-fba-businesses-for-sale/,"$650,000","$539,220","$209,527",,QuietLight,Amazon FBA
Fast Growing Amazon FBM | Used Cameras & Electronics | 300% YoY Growth | Low Overhead,https://quietlight.com/listings/15594313/,"$650,000","$3,568,938","$420,981",,QuietLight,Amazon FBA
SBA Stable 27-Year-Old Patented Ice Wrap Ecom Company | High Margins | Diversified Sales Channels,https://quietlight.com/amazon-fba-businesses-for-sale/,"$650,000","$1,083,428","$267,547",,QuietLight,Amazon FBA
7 Year Old Ladies Bag Amazon FBA UK Business w/USA Expansion Opportunity & Zero Advertising,https://quietlight.com/listings/16702772/,"$645,000","$1,578,995","$214,955",,QuietLight,Amazon FBA
"50/50 Amazon FBA & Walmart Reseller, Well Known Apparel Brands, 77% YOY SDE Growth",https://quietlight.com/amazon-fba-businesses-for-sale/,"$640,000","$1,057,601","$272,324",,QuietLight,Amazon FBA
Amazon FBA Traditional Gold Jewelry | Highly Automated | 92% YTD SDE Growth,https://quietlight.com/amazon-fba-businesses-for-sale/,"$635,000","$1,191,674","$181,423",,QuietLight,Amazon FBA
