source,name,price,revenue,profit,description,url,multiple
Bizquest,Oil Company for Sale in New York,"$717,000","$157,500","$130,000","$717,000Cash Flow: $130,000SaveOil Company for Sale in New YorkNassau County, NY Oil Company for Sale in New YorkFinancing Available $717,000Cash Flow: $130,000 $179,000Cash Flow: $111,602SaveUTZ Foods Route For Sale in Charlotte NC-$179,000Charlotte, NC High Growth Route in Highly Desired Area in",https://www.bizquest.com/business-for-sale/oil-company-for-sale-in-new-york/BW2385969/,
Bizquest,"UTZ Foods Route For Sale in Charlotte NC-$179,000","$179,000",,"$111,602","$179,000Cash Flow: $111,602SaveUTZ Foods Route For Sale in Charlotte NC-$179,000Charlotte, NC High Growth Route in Highly Desired Area in Charlotte NC! $179,000Cash Flow: $111,602",https://www.bizquest.com/businesses-for-sale-in-charlotte-nc/,
Bizquest,"Bimbo Bakeries Route For Sale-Scottsdale AZ-$200,000","$200,000",,"$99,545","$200,000Cash Flow: $99,545SaveBimbo Bakeries Route For Sale-Scottsdale AZ-$200,000Scottsdale, AZ Great 5 Account Route. Highly Desired Area! $200,000Cash Flow: $99,545",https://www.bizquest.com/businesses-for-sale-in-scottsdale-az/,
Bizquest,Established HVAC Business & Real Estate For Sale,"$1,250,000",,"$282,333","$1,250,000Cash Flow: $282,333SaveEstablished HVAC Business & Real Estate For SaleLincoln, NE Turn-key Business & CRE with Strong Reputation & Local LegacyFinancing AvailableIncludes Real Estate $1,250,000Cash Flow: $282,333",https://www.bizquest.com/businesses-for-sale-in-lincoln-ne/,
Bizquest,"Fishing Bait Route, Suburban Chicago, IL to Wisconsin","$265,000",,"$82,909","$265,000Cash Flow: $82,909SaveFishing Bait Route, Suburban Chicago, IL to WisconsinChicago, IL Seasonal Route $265,000Cash Flow: $82,909",https://www.bizquest.com/businesses-for-sale-in-chicago-il/,
Bizquest,Established Chem-Dry Franchise with 24-Year Legacy,"$150,000",,"$72,000","2 $150,000Cash Flow: $72,000SaveEstablished Chem-Dry Franchise with 24-Year LegacyAppleton, WI Turnkey Chem-Dry Business with Loyal Clients $150,000Cash Flow: $72,000",https://www.bizquest.com/businesses-for-sale-in-appleton-wi/,
Bizquest,Unique Corporate and Consumer Entertainment Business,"$1,625,000",,"$460,000","$1,625,000Cash Flow: $460,000SaveUnique Corporate and Consumer Entertainment BusinessHarris County, TX Thriving, Scalable Business with Built-In Demand and Corporate BackingFinancing Available $1,625,000Cash Flow: $460,000",https://www.bizquest.com/businesses-for-sale-in-harris-county-tx/,
Bizquest,Established Painting Business in Butler County!,"$400,000",,"$140,000","$400,000Cash Flow: $140,000SaveEstablished Painting Business in Butler County!West Chester, OH Profitable Business with Growth Potential! $400,000Cash Flow: $140,000",https://www.bizquest.com/businesses-for-sale-in-west-chester-oh/,
Bizquest,"Mission's Tortilla Route, Largo, FL","$150,000",,"$68,017","$150,000Cash Flow: $68,017SaveMission's Tortilla Route, Largo, FLLargo, FL Vehicle Included! $150,000Cash Flow: $68,017",https://www.bizquest.com/businesses-for-sale-in-largo-fl/,
Bizquest,"Fast-Growing Pet Waste Management Franchise in Madison, WI","$100,000",,,"$100,000SaveFast-Growing Pet Waste Management Franchise in Madison, WIWaunakee, WI A true ‘turnkey’ business opportunity poised for growth $100,000",https://www.bizquest.com/businesses-for-sale-in-waunakee-wi/,
