source,name,price,revenue,profit,description,url,multiple
EmpireFlippers,Supplements Amazon FBA Business,"$1,467,148","$109,126","$43,151","Established in 2019, this profitable and fully automated FBA brand specializes in women's skincare p... Read more",https://empireflippers.com/listing/85542/,
EmpireFlippers,Children Amazon FBA Business,"$616,064","$84,014","$15,402",This listing is for a well-run Amazon FBA brand created in 2022. The business sells products niched ... Read more,https://empireflippers.com/listing/85705/,
EmpireFlippers,Kitchenware Amazon FBA Business,"$178,664","$35,217","$5,255","This Amazon FBA business, established in February 2020, operates in the home and kitchen niches with... Read more",https://empireflippers.com/listing/83099/,
EmpireFlippers,Apparel & Accessories Amazon FBA Business,"$92,823","$42,923","$4,219","Launched in 2017, this UK-based Amazon FBA and eCommerce business sells a highly giftable winter app... Read more",https://empireflippers.com/listing/86131/,
EmpireFlippers,Home Amazon FBA Business,"$4,630,892","$398,009","$107,695","Founded in 2019, this global, fast-growing eCommerce and FBA brand designs and sells innovative conn... Read more",https://empireflippers.com/listing/83512/,
EmpireFlippers,Survival & Security Amazon FBA Business,"$4,464,410","$291,927","$106,295","This listing features an Amazon FBA and eCommerce brand established in June 2021, operating in the s... Read more",https://empireflippers.com/listing/85679/,
EmpireFlippers,Food & Beverages Amazon FBA Business,"$3,877,009","$306,984","$84,282","Established in 2020, this Amazon FBA business specializes in selling herbal teas targeting the healt... Read more",https://empireflippers.com/listing/81411/,
EmpireFlippers,Outdoors Amazon FBA Business,"$2,578,071","$625,065","$66,104",This listing is for an Amazon FBA and Shopify business established in January 2015 in the outdoors a... Read more,https://empireflippers.com/listing/78155/,
EmpireFlippers,Gaming Amazon FBA Business,"$2,149,525","$119,377","$61,415","This Amazon FBA business, established in December 2021, operates in the gaming and hobbies niche wit... Read more",https://empireflippers.com/listing/85190/,
EmpireFlippers,Sports Amazon FBA Business,"$2,135,348","$251,659","$54,753","Launched in 2019, this Amazon FBA business operates in the Health & Fitness and Sports niches, selli... Read more",https://empireflippers.com/listing/82659/,
EmpireFlippers,Supplements Amazon FBA Business,"$1,886,304","$212,548","$44,912",This Amazon FBA business was launched in 2018 and operates in the health and food supplements niche.... Read more,https://empireflippers.com/listing/83222/,
EmpireFlippers,Health & Fitness Amazon FBA Business,"$1,474,972","$66,382","$40,971",This listing is for a very well-run Amazon FBA brand selling supplements in the health niche. The su... Read more,https://empireflippers.com/listing/85543/,
